day,Brazil,France,Germany,Italy,Russia,Spain,UK
2020/3/1,2,130,130,1694,2,84,36
2020/3/2,2,191,159,2036,3,120,40
2020/3/3,2,204,196,2502,3,165,51
2020/3/4,4,285,262,3089,3,222,85
2020/3/5,4,377,482,3858,4,259,115
2020/3/6,13,653,670,4636,13,400,163
2020/3/7,13,949,799,5883,13,500,206
2020/3/8,20,1126,1040,7375,17,673,273
2020/3/9,25,1209,1176,9172,17,1073,321
2020/3/10,31,1784,1457,10149,20,1695,382
2020/3/11,38,2281,1908,12462,20,2277,456
2020/3/12,52,2281,2078,12462,28,2277,456
2020/3/13,151,3661,3675,17660,45,5232,798
2020/3/14,151,4469,4585,21157,59,6391,1140
2020/3/15,162,4499,5795,24747,63,7798,1140
2020/3/16,200,6633,7272,27980,90,9942,1543
2020/3/17,321,7652,9257,31506,114,11748,1950
2020/3/18,372,9043,12327,35713,147,13910,2626
2020/3/19,621,10871,15320,41035,199,17963,2689
2020/3/20,793,12612,19848,47021,253,20410,3983
2020/3/21,1021,14282,22213,53578,306,25374,5018
2020/3/22,1546,16018,24873,59138,367,28768,5683
2020/3/23,1924,19856,29056,63927,438,35136,6650
2020/3/24,2247,22304,32986,69176,495,39885,8077
2020/3/25,2554,25233,37323,74386,658,49515,9529
2020/3/26,2985,29155,43938,80589,840,57786,11658
2020/3/27,3417,32964,50871,86498,1036,65719,14543
2020/3/28,3904,37575,57695,92472,1264,73235,17089
2020/3/29,4256,40174,62095,97689,1534,80110,19522
2020/3/30,4579,44550,66885,101739,1836,87956,22141
2020/3/31,5717,52128,71808,105792,2337,95923,25150
2020/4/1,6836,56989,77872,110574,2777,104118,29474
2020/4/2,8044,59105,84794,115242,3548,112065,33718
2020/4/3,9056,64338,91159,119827,4149,119199,38168
2020/4/4,10360,68605,96092,124632,4731,126168,41903
2020/4/5,11130,70478,100123,128948,5389,131646,47806
2020/4/6,12161,74390,103374,132547,6343,136675,51608
2020/4/7,14034,78167,107663,135586,7497,141942,55242
2020/4/8,16170,82048,113296,139422,8672,148220,60733
2020/4/9,18092,86334,118181,143626,10131,153222,65077
2020/4/10,19638,90676,122171,147577,11917,158273,73758
2020/4/11,20727,93790,124908,152271,13584,163027,78991
2020/4/12,22192,120633,127854,156363,15770,166831,84279
2020/4/13,23430,124298,130072,159516,18328,170099,88621
2020/4/14,25262,129257,131359,162488,21102,172541,93873
2020/4/15,28320,132473,134753,165155,24490,177644,98476
2020/4/16,30425,144944,137698,168941,27938,184948,103093
2020/4/17,33682,146923,141397,172434,32008,190839,108692
2020/4/18,36658,146906,143342,175925,36793,191726,114217
2020/4/19,38654,151808,145184,178972,42853,198674,120067
2020/4/20,40743,154188,147065,181228,47121,200210,124743
2020/4/21,43079,156921,148291,183957,52763,204178,129044
2020/4/22,45757,154715,150648,187327,57999,208389,133495
2020/4/23,50036,157026,153129,189973,62773,213024,138078
2020/4/24,54043,158636,154999,192994,68622,202990,143464
2020/4/25,59324,160292,156513,195351,74588,205905,148377
2020/4/26,63100,160847,157770,197675,80949,207634,152840
2020/4/27,67446,164589,158758,199414,87147,209465,157149
2020/4/28,73235,167605,159912,201505,93558,210773,161145
2020/4/29,79685,165093,161539,203591,99399,212917,165221
2020/4/30,87187,165764,163009,205463,106498,213435,171253
2020/5/1,92202,165764,164077,207428,114431,215216,177454
2020/5/2,97100,166976,164967,209328,124054,216582,182260
2020/5/3,101826,167272,165664,210717,134687,217466,186599
2020/5/4,108620,167886,166152,211938,145268,218011,190584
2020/5/5,115455,168935,167007,213013,155370,219329,194990
2020/5/6,126611,172465,168162,214457,165929,220325,201101
2020/5/7,135773,173040,169430,215858,177160,221447,206715
2020/5/8,146894,174318,170588,217185,187859,222857,211364
2020/5/9,156061,174758,171324,218268,198676,223578,215260
2020/5/10,162699,175027,171879,219070,209688,224350,219183
2020/5/11,169594,175479,172576,219814,221344,227436,223060
2020/5/12,178214,176207,173171,221216,232243,228030,226463
